Time,Data
2.708,-0.17704253389922406
2.712,-0.19664145790964943
2.716,-0.1832993114481699
2.72,-0.1950160540341588
2.724,-0.18979163278707248
2.728,-0.14362598238379118
2.732,-0.16351902501987883
2.736,-0.11547067037480062
2.74,-0.11748081558111367
2.744,-0.13654934519766632
2.748,-0.14867613118681805
2.752,-0.127861032895713
2.756,-0.11810389704161604
2.76,-0.11540455770133914
2.764,-0.03776283630476997
2.768,-0.02517854163252186
2.772,0.020348530182285947
2.776,0.037818595648094006
2.78,0.04223188390482236
2.784,0.08958863670960933
2.788,0.10188910841838884
2.792,0.1591335659632747
2.796,0.1563222888257662
2.8,0.18045556900575727
2.804,0.18753371098636085
2.808,0.22255703169453567
2.812,0.17152586045752574
2.816,0.1644405389551119
2.82,0.18030142116767944
2.824,0.1481088733201086
2.828,0.17186327382150002
2.832,0.1585650132007345
2.836,0.16721449403788805
2.84,0.1968121308915108
2.844,0.13635835022177978
2.848,0.1518535903095512
2.852,0.14129830117131578
2.856,0.18469294447009046
2.86,0.17603799342225585
2.864,0.12333393270036652
2.868,0.13658125833195628
2.872,0.15478047759436372
2.876,0.16393210890560303
2.88,0.16003668171131336
2.884,0.13309473636780841
2.888,0.12410682402126405
2.892,0.14807350648307346
2.896,0.1409953561014042
2.9,0.17487295562899555
2.904,0.14570689808722742
2.908,0.1664977866265056
2.912,0.14524623438300152
2.916,0.12295286433178393
2.92,0.12061830913639236
2.924,0.1422432109948904
2.928,0.1498282214824498
2.932,0.1553740013905066
2.936,0.17388122056254554
2.94,0.14635055772655278
2.944,0.15478270032419894
2.948,0.16217834433679504
2.952,0.11053819410808126
2.956,0.0878629621639033
2.96,0.11615336902882835
2.964,0.10341014303976209
2.968,0.13663402015662782
2.972,0.12682574377015615
2.976,0.13898606450686576
2.98,0.11211574003127597
2.984,0.0722155348454338
2.988,0.08928622008580338
2.992,0.10232857331759822
2.996,0.09234337832661242
3.0,0.09233142490862296
3.004,0.12429350865643259
3.008,0.08723043074461968
3.012,0.08614299771207286
3.016,0.054032021242368555
3.02,0.05189831794208342
3.024,0.03374270911709595
3.028,0.07856602054696658
3.032,0.06836908225745955
3.036,0.09015272829129457
3.04,0.072917796477193
3.044,0.047665128197306825
3.048,0.012395568153100925
3.052,0.02010996412977199
3.056,0.014809166759282559
3.06,0.011494029282090068
3.064,0.028165407307652917
3.068,0.02282415857379349
3.072,0.03547114270500204
3.076,-0.01189277903023675
3.08,0.016733256036989205
3.084,-0.01764988826836157
3.088,-0.026041347210386447
3.092,-0.01644025538798878
3.096,-0.014845746981180298
3.1,-0.015256955997861121
3.104,-0.020673016520981465
3.108,0.016906937043991016
3.112,-0.008516230278608879
3.116,-0.018941654282454746
3.12,-0.032368471827082
3.124,-0.002795821085696371
3.128,-0.05522284179285385
3.132,-0.04564867549192444
3.136,-0.0390724657822519
3.14,-0.036493358565920994
3.144,-0.03991050229405289
3.148,-0.06232304821253152
3.152,-0.0727301506070863
3.156,-0.07113096704763264
3.16,-0.09652465863179228
3.164,-0.08191039022750626
3.168,-0.06428733071465094
3.172,-0.07765465322557503
3.176,-0.09301153538447035
3.18,-0.0803571595454924
3.184,-0.1206907130295458
3.188,-0.10401138835964985
3.192,-0.12931838349480004
3.196,-0.1266109020622425
3.2,-0.09388815358808048
3.204,-0.1101493537261247
3.208,-0.1353937244849141
3.212,-0.13562049445281416
3.216,-0.10782889902112613
3.22,-0.1660181806051132
3.224,-0.13618758886287435
3.228,-0.16333638091198105
3.232,-0.14046382154380221
3.236,-0.09856918343543732
3.24,-0.12565174735918308
3.244,-0.15571080238945872
3.248,-0.14074564610711116
3.252,-0.17875558480102982
3.256,-0.1767399336669987
3.26,-0.15369801700370528
3.264,-0.12562916840585012
3.268,-0.12653273095426856
3.272,-0.16840805740301354
3.276,-0.1452545103633145
3.28,-0.17007146248435975
3.284,-0.14785829663082556
3.288,-0.15261440605709214
3.292,-0.20233919457808228
3.296,-0.16903207673665893
3.3,-0.17869247796752188
3.304,-0.1783198347575395
3.308,-0.17591359480246285
3.312,-0.16547321715995775
3.316,-0.18299817239890256
3.32,-0.22948794274489573
3.324,-0.20394202222191932
3.328,-0.1763599167901029
3.332,-0.16574114447954344
3.336,-0.16008523552012524
3.34,-0.14339173246729275
3.344,-0.20066019032373328
3.348,-0.17289017665692039
3.352,-0.1940812717124726
3.356,-0.16323306852329283
3.36,-0.13434517301443497
3.364,-0.11141720410367308
3.368,-0.11544879379771927
3.372,-0.1314395872840717
3.376,-0.09538924301843783
3.38,-0.11429743280771971
3.384,-0.13116384188851313
3.388,-0.0999881690011029
3.392,-0.08377012645891482
3.396,-0.09250944021341116
3.4,-0.06120584991438812
3.404,-0.07185910896566687
3.408,-0.07346898457614656
3.412,-0.06703525780620298
3.416,-0.08555772360941419
3.42,-0.0860361908695952
3.424,-0.08747048243312935
3.428,-0.12386043513657724
3.432,-0.10120589982956055
3.436,-0.08750674139289791
3.44,-0.10576283875200233
3.444,-0.14897408488551267
3.448,-0.12214038682917248
3.452,-0.10526166567494454
3.456,-0.10833785656535828
3.46,-0.08636890868309648
3.464,-0.06935478523581617
3.468,-0.040295463436217135
3.472,-0.04519093447735227
3.476,-0.03604120350319563
3.48,-0.0338462895744759
3.484,-0.051606225629781614
3.488,-0.02632105844195208
3.492,-0.0009908485697781193
3.496,0.04138432969498974
3.5,0.1538043883852925
3.504,0.3102692259210596
3.508,0.5487787271761327
3.512,0.8813327635497896
3.516,1.3109311930428438
3.52,1.7335738603383002
3.524,2.233260596886525
3.528,2.546991220994923
3.532,2.6517655379220635
3.536,2.3995833399762443
3.54,1.9124444066184518
3.544,1.315348504569675
3.548,0.7232953879225452
3.552,0.23928479825726084
3.556,-0.0056835352382520205
3.56,-0.10460989564397342
3.564,-0.13749457817927185
3.568,-0.1233378900702733
3.572,-0.0911401504131688
3.576,-0.05990169003350586
3.58,-0.09962285134151491
3.584,-0.11330398818352304
3.588,-0.1579454656895054
3.592,-0.18354766011683074
3.596,-0.18311095869025615
3.6,-0.20663575943822765
3.604,-0.20312247102554462
3.608,-0.20957151258244847
3.612,-0.2139833135301987
3.616,-0.22535831340319332
3.62,-0.21669696166770275
3.624,-0.18299971753727856
3.628,-0.24226704978490682
3.632,-0.21749943655196738
3.636,-0.18969736515407426
3.64,-0.16286133188386398
3.644,-0.22899184181080018
3.648,-0.23008940857807028
3.652,-0.23915455419664652
3.656,-0.24218780883658272
3.66,-0.23818971061562477
3.664,-0.2541608053852102
3.668,-0.24810164651393293
3.672,-0.24901279466855006
3.676,-0.2418948175926162
3.68,-0.2457482898828136
3.684,-0.25657379276307096
3.688,-0.25937191385654323
3.692,-0.26514324695553965
3.696,-0.20388839178948068
3.7,-0.2266079537909694
3.704,-0.1923025438600588
3.708,-0.20297277812680373
3.712,-0.1916192777121823
3.716,-0.22924266848746722
3.72,-0.26784358083214893
3.724,-0.2554226493904762
3.728,-0.23298051282672255
3.732,-0.22851781357925585
3.736,-0.18203519761350317
3.74,-0.197533314173897
3.744,-0.19601281553489916
3.748,-0.21847435675118687
3.752,-0.2159185954070913
3.756,-0.2443461913653809
3.76,-0.20475780651548559
3.764,-0.1981541045212386
3.768,-0.18253575056824356
3.772,-0.17290341111094762
3.776,-0.16825775361951462
3.78,-0.19659944632659226
3.784,-0.19692915797406352
3.788,-0.21524755755987104
3.792,-0.18755531408501067
3.796,-0.18285309630078075
3.8,-0.1651415724563874
3.804,-0.17542141004698353
3.808,-0.1606932755622462
3.812,-0.17395783423557307
3.816,-0.14921574979399585
3.82,-0.20446768420889597
3.824,-0.13471429744761715
3.828,-0.1399562472260578
3.832,-0.10019418876234497
3.836,-0.07842877453166104
3.84,-0.06866065402233124
3.844,-0.04089047349324246
3.848,-0.016118875732695773
3.852,0.006653500181231794
3.856,0.02042601911872144
3.86,0.058198050134563084
3.864,0.08296896670273239
3.868,0.09773814694911095
3.872,0.11950497388226866
3.876,0.12226883562221866
3.88,0.11902912562707141
3.884,0.08678524291749438
3.888,0.09853659229891028
3.892,0.10628258458134228
3.896,0.09602263679683375
3.9,0.09075617241436082
3.904,0.11748262155216337
3.908,0.1032014211874145
3.912,0.07991201536315892
3.916,0.09261385539243805
3.92,0.05430640005953784
3.924,0.07198911581827697
3.928,0.06566147698727394
3.932,0.1083229659421164
